DateTime,LU_Load_DayAhead,LU_Load_Actual
2015-01-01T00:00:00Z,5,411
2015-01-01T01:00:00Z,350,392
2015-01-01T02:00:00Z,339,373
2015-01-01T03:00:00Z,327,368
2015-01-01T04:00:00Z,320,355
2015-01-01T05:00:00Z,285,318
2015-01-01T06:00:00Z,278,300
2015-01-01T07:00:00Z,282,310
2015-01-01T08:00:00Z,283,294
2015-01-01T09:00:00Z,292,306
2015-01-01T10:00:00Z,318,337
2015-01-01T11:00:00Z,328,357
2015-01-01T12:00:00Z,317,355
2015-01-01T13:00:00Z,307,346
2015-01-01T14:00:00Z,303,342
2015-01-01T15:00:00Z,298,343
2015-01-01T16:00:00Z,340,383
2015-01-01T17:00:00Z,365,410
2015-01-01T18:00:00Z,351,398
2015-01-01T19:00:00Z,333,386
2015-01-01T20:00:00Z,318,364
2015-01-01T21:00:00Z,377,425
2015-01-01T22:00:00Z,373,421
2015-01-01T23:00:00Z,364,402
2015-01-02T00:00:00Z,346,373
2015-01-02T01:00:00Z,332,351
2015-01-02T02:00:00Z,325,341
2015-01-02T03:00:00Z,324,337
2015-01-02T04:00:00Z,331,348
2015-01-02T05:00:00Z,314,341
2015-01-02T06:00:00Z,352,374
2015-01-02T07:00:00Z,401,419
2015-01-02T08:00:00Z,418,445
2015-01-02T09:00:00Z,434,464
2015-01-02T10:00:00Z,456,490
2015-01-02T11:00:00Z,464,502
2015-01-02T12:00:00Z,441,479
2015-01-02T13:00:00Z,426,475
2015-01-02T14:00:00Z,425,457
2015-01-02T15:00:00Z,427,446
2015-01-02T16:00:00Z,461,478
2015-01-02T17:00:00Z,482,503
2015-01-02T18:00:00Z,461,490
2015-01-02T19:00:00Z,429,467
2015-01-02T20:00:00Z,386,426
2015-01-02T21:00:00Z,424,474
2015-01-02T22:00:00Z,415,472
2015-01-02T23:00:00Z,403,453
2015-01-03T00:00:00Z,376,417
2015-01-03T01:00:00Z,360,396
2015-01-03T02:00:00Z,352,386
2015-01-03T03:00:00Z,352,378
2015-01-03T04:00:00Z,354,381
2015-01-03T05:00:00Z,312,351
2015-01-03T06:00:00Z,338,347
2015-01-03T07:00:00Z,377,368
2015-01-03T08:00:00Z,406,381
2015-01-03T09:00:00Z,415,407
2015-01-03T10:00:00Z,443,448
2015-01-03T11:00:00Z,460,475
2015-01-03T12:00:00Z,438,467
2015-01-03T13:00:00Z,428,446
2015-01-03T14:00:00Z,405,440
2015-01-03T15:00:00Z,381,425
2015-01-03T16:00:00Z,411,441
2015-01-03T17:00:00Z,438,460
2015-01-03T18:00:00Z,421,450
2015-01-03T19:00:00Z,403,412
2015-01-03T20:00:00Z,385,384
2015-01-03T21:00:00Z,443,460
2015-01-03T22:00:00Z,432,460
2015-01-03T23:00:00Z,400,434
2015-01-04T00:00:00Z,381,410
2015-01-04T01:00:00Z,357,385
2015-01-04T02:00:00Z,359,377
2015-01-04T03:00:00Z,354,374
2015-01-04T04:00:00Z,351,377
2015-01-04T05:00:00Z,296,333
2015-01-04T06:00:00Z,306,328
2015-01-04T07:00:00Z,324,345
