DateTime,NL_Load_DayAhead,NL_Load_Actual
2015-01-01T00:00:00Z,9236.8,9622
2015-01-01T01:00:00Z,8712.72,9148
2015-01-01T02:00:00Z,8492.69,8639
2015-01-01T03:00:00Z,8449.28,8228
2015-01-01T04:00:00Z,8682.16,8104
2015-01-01T05:00:00Z,9471.02,8201
2015-01-01T06:00:00Z,11152.89,8516
2015-01-01T07:00:00Z,12946,8897
2015-01-01T08:00:00Z,13647.67,9105
2015-01-01T09:00:00Z,14019.55,9701
2015-01-01T10:00:00Z,14156.31,10270
2015-01-01T11:00:00Z,14153.04,11937.82
2015-01-01T12:00:00Z,13987.41,11886.41
2015-01-01T13:00:00Z,13962.15,12045.75
2015-01-01T14:00:00Z,13817.32,11892.97
2015-01-01T15:00:00Z,14066.89,11937.55
2015-01-01T16:00:00Z,15091.49,12498.98
2015-01-01T17:00:00Z,14952.24,12739.36
2015-01-01T18:00:00Z,14385.94,11878.78
2015-01-01T19:00:00Z,13815.79,11516.85
2015-01-01T20:00:00Z,13005.49,11056.57
2015-01-01T21:00:00Z,12048.83,10622.76
2015-01-01T22:00:00Z,11082.17,10170.45
2015-01-01T23:00:00Z,10017.55,9253.15
2015-01-02T00:00:00Z,9196.94,8517.17
2015-01-02T01:00:00Z,8726.17,8051.61
2015-01-02T02:00:00Z,8526.32,7712.73
2015-01-02T03:00:00Z,8450.75,7647.92
2015-01-02T04:00:00Z,8664.68,7961.22
2015-01-02T05:00:00Z,9476.21,8741.83
2015-01-02T06:00:00Z,11074.88,10283.93
2015-01-02T07:00:00Z,12831.43,11934.39
2015-01-02T08:00:00Z,13707.67,13018.83
2015-01-02T09:00:00Z,14173.75,13973.37
2015-01-02T10:00:00Z,14313.31,14021.82
2015-01-02T11:00:00Z,14243.31,13944.75
2015-01-02T12:00:00Z,13988.42,13633.66
2015-01-02T13:00:00Z,13846.23,13480.33
2015-01-02T14:00:00Z,13623.07,13689.79
2015-01-02T15:00:00Z,13713.46,14012.8
2015-01-02T16:00:00Z,14834.8,14803.93
2015-01-02T17:00:00Z,14771.65,14715.57
